우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116804166063|개포로34길|Gaepo-ro 34-gil|0|12|0|1168010300102090003021313||삼성파크빌|1168010300|개포동||개포4동|0|1209|01|3||
06329|서울특별시|Seoul|강남구|Gangnam-gu|||116804166068|개포로82길|Gaepo-ro 82-gil|0|11|0|1168010300101860003019911||삼우빌딩|1168010300|개포동||개포2동|0|186|01|3||
06312|서울특별시|Seoul|강남구|Gangnam-gu|||116803121022|논현로|Nonhyeon-ro|0|64|0|1168010300102280000020799||삼우빌딩|1168010300|개포동||개포4동|0|1228|02|0||
06329|서울특별시|Seoul|강남구|Gangnam-gu|||116804166068|개포로82길|Gaepo-ro 82-gil|0|7|0|1168010300101860012019910||삼성빌딩|1168010300|개포동||개포2동|0|186|01|12||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116803122006|선릉로|Seolleung-ro|0|52|0|1168010300101720000019412||삼성빌딩|1168010300|개포동||개포2동|0|172|02|0||
06306|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|227|0|1168010300102580003020450||삼봉빌딩|1168010300|개포동||개포4동|0|1258|01|3||
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166204|논현로8길|Nonhyeon-ro 8-gil|0|46|7|1168010300111770006000001||블루밍 하우스|1168010300|개포동|||0|1177|01|6||
06311|서울특별시|Seoul|강남구|Gangnam-gu|||116804166059|개포로28길|Gaepo-ro 28-gil|0|36|0|1168010300102020006020689||비스타그린빌|1168010300|개포동||개포4동|0|1202|01|6||
06312|서울특별시|Seoul|강남구|Gangnam-gu|||116804166128|논현로12길|Nonhyeon-ro 12-gil|0|23|8|1168010300111990008000001||비엔미빌|1168010300|개포동||개포4동|0|1199|01|8||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116804166065|개포로36길|Gaepo-ro 36-gil|0|18|0|1168010300102100006021316||벽산빌라|1168010300|개포동||개포4동|0|1210|01|6||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166166|논현로20길|Nonhyeon-ro 20-gil|0|16|0|1168010300102370005020534||보람빌딩|1168010300|개포동||개포4동|0|1237|01|5||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116803121022|논현로|Nonhyeon-ro|0|90|0|1168010300102290000028244||보성빌딩|1168010300|개포동||개포4동|0|1229|02|0||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116803121022|논현로|Nonhyeon-ro|0|82|0|1168010300102290004020633||봉명빌딩|1168010300|개포동||개포4동|0|1229|02|4||
06306|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|231|0|1168010300102580005020446||반석빌딩|1168010300|개포동||개포4동|0|1258|01|5||
06303|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|207|0|1168010300102390020020497||백암빌딩|1168010300|개포동||개포4동|0|1239|01|20||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116804166062|개포로32길|Gaepo-ro 32-gil|0|19|0|1168010300102090012021295||베네세하우스|1168010300|개포동||개포4동|0|1209|01|12||
06306|서울특별시|Seoul|강남구|Gangnam-gu|||116804166057|개포로25길|Gaepo-ro 25-gil|0|13|9|1168010300102560001028160||베네세하우스|1168010300|개포동||개포4동|0|1256|01|1||
06306|서울특별시|Seoul|강남구|Gangnam-gu|||116804166057|개포로25길|Gaepo-ro 25-gil|0|13|10|1168010300102550010000001||베네스트|1168010300|개포동||개포4동|0|1255|01|10||
06315|서울특별시|Seoul|강남구|Gangnam-gu|||116804166204|논현로8길|Nonhyeon-ro 8-gil|0|54|7|1168010300101790006026680||베네스트빌|1168010300|개포동||개포4동|0|1179|01|6||
06303|서울특별시|Seoul|강남구|Gangnam-gu|||116803121022|논현로|Nonhyeon-ro|0|98|0|1168010300102390017020485||문화빌딩|1168010300|개포동||개포4동|0|1239|02|17||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166055|개포로22길|Gaepo-ro 22-gil|0|14|0|1168010300102310006020565||민빌딩|1168010300|개포동||개포4동|0|1231|01|6||
06306|서울특별시|Seoul|강남구|Gangnam-gu|||116804166061|개포로31길|Gaepo-ro 31-gil|0|31|0|1168010300102650004000001||밀미리경로당|1168010300|개포동||개포4동|0|1265|01|4||
06308|서울특별시|Seoul|강남구|Gangnam-gu|||116804166056|개포로24길|Gaepo-ro 24-gil|0|13|0|1168010300112160007000001||백년빌|1168010300|개포동||개포4동|0|1216|01|7||
06312|서울특별시|Seoul|강남구|Gangnam-gu|||116803121022|논현로|Nonhyeon-ro|0|40|0|1168010300111940005000001||메이븐빌딩|1168010300|개포동||개포4동|0|1194|02|5||
06329|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|504|0|1168010300101860013019906||메트하임|1168010300|개포동||개포2동|0|186|01|13||
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166190|논현로6길|Nonhyeon-ro 6-gil|0|14|4|1168010300101700001021168||리안빌리지|1168010300|개포동||개포4동|0|1170|01|1||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166470|선릉로14길|Seolleung-ro 14-gil|0|20|0|1168010300101700008019363||명성빌라|1168010300|개포동||개포2동|0|170|01|8||
06322|서울특별시|Seoul|강남구|Gangnam-gu|||116804166611|언주로6길|Eonju-ro 6-gil|0|21|0|1168010300106600021000001||명스튜디오|1168010300|개포동||개포1동|0|660|01|21||
06308|서울특별시|Seoul|강남구|Gangnam-gu|||116804166059|개포로28길|Gaepo-ro 28-gil|0|28|0|1168010300102040006028168||리치타운아파트|1168010300|개포동||개포4동|0|1204|01|5||
06303|서울특별시|Seoul|강남구|Gangnam-gu|||116804166052|개포로17길|Gaepo-ro 17-gil|0|9|7|1168010300112450003000001||로얄펠리체|1168010300|개포동||개포4동|0|1245|01|3||
06312|서울특별시|Seoul|강남구|Gangnam-gu|||116804166158|논현로16길|Nonhyeon-ro 16-gil|0|10|7|1168010300112260008000001||로얄펠리체2(A동)|1168010300|개포동||개포4동|0|1226|01|8||
06309|서울특별시|Seoul|강남구|Gangnam-gu|||116804166062|개포로32길|Gaepo-ro 32-gil|0|14|0|1168010300102080000021293||로하스빌|1168010300|개포동||개포4동|0|1208|01|0||
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166204|논현로8길|Nonhyeon-ro 8-gil|0|32|8|1168010300101860004021029||르비양빌라|1168010300|개포동||개포4동|0|1186|01|4||
06313|서울특별시|Seoul|강남구|Gangnam-gu|||116804166171|논현로2길|Nonhyeon-ro 2-gil|0|62|0|1168010300101640025000001||리더스|1168010300|개포동||개포4동|0|1164|01|25||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166164|논현로18길|Nonhyeon-ro 18-gil|0|22|20|1168010300112330008000001||리아체|1168010300|개포동||개포4동|0|1233|01|8||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166164|논현로18길|Nonhyeon-ro 18-gil|0|10|8|1168010300102360003020637||리오빌|1168010300|개포동||개포4동|0|1236|01|3||
06326|서울특별시|Seoul|강남구|Gangnam-gu|||116803122006|선릉로|Seolleung-ro|0|8|0|1168010300101400000019702||래미안블레스티지|1168010300|개포동||개포2동|0|1280|02|0||
06307|서울특별시|Seoul|강남구|Gangnam-gu|||116804166164|논현로18길|Nonhyeon-ro 18-gil|0|10|18|1168010300112360008000001||럭키하우스|1168010300|개포동||개포4동|0|1236|01|8||
06306|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|239|0|1168010300102590002020432||로얄빌딩|1168010300|개포동||개포4동|0|1259|01|2||
06314|서울특별시|Seoul|강남구|Gangnam-gu|||116804166171|논현로2길|Nonhyeon-ro 2-gil|0|15|0|1168010300101680009021203||드림빌라|1168010300|개포동||개포4동|0|1168|01|9||
06312|서울특별시|Seoul|강남구|Gangnam-gu|||116804166158|논현로16길|Nonhyeon-ro 16-gil|0|10|5|1168010300112260009000001||로얄펠리체2(B동)|1168010300|개포동||개포4동|0|1226|01|9||
06327|서울특별시|Seoul|강남구|Gangnam-gu|||116803122005|삼성로|Samseong-ro|0|11|0|1168010300101380000019580||디에이치아너힐즈|1168010300|개포동||개포2동|0|1281|01|0||
06306|서울특별시|Seoul|강남구|Gangnam-gu|||116804166057|개포로25길|Gaepo-ro 25-gil|0|21|3|1168010300112540003000001||디자인하우스|1168010300|개포동||개포4동|0|1254|01|3||
06312|서울특별시|Seoul|강남구|Gangnam-gu|||116803121022|논현로|Nonhyeon-ro|0|58|0|1168010300102280003020819||동진빌딩|1168010300|개포동||개포4동|0|1228|02|3||
06306|서울특별시|Seoul|강남구|Gangnam-gu|||116803122001|개포로|Gaepo-ro|0|225|0|1168010300102580002020448||동진빌딩|1168010300|개포동||개포4동|0|1258|01|2||
06311|서울특별시|Seoul|강남구|Gangnam-gu|||116804166055|개포로22길|Gaepo-ro 22-gil|0|49|11|1168010300102010005026888||래디안빌|1168010300|개포동||개포4동|0|1201|01|5||
06308|서울특별시|Seoul|강남구|Gangnam-gu|||116804166055|개포로22길|Gaepo-ro 22-gil|0|27|0|1168010300102180020028167||두로빌딩|1168010300|개포동||개포4동|0|1218|01|20||
06303|서울특별시|Seoul|강남구|Gangnam-gu|||116804166052|개포로17길|Gaepo-ro 17-gil|0|13|14|1168010300102410005020351||두리빌딩|1168010300|개포동||개포4동|0|1241|01|5||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166443|선릉로10길|Seolleung-ro 10-gil|0|22|5|1168010300101620007019420||두일빌라|1168010300|개포동||개포2동|0|162|01|7||
06325|서울특별시|Seoul|강남구|Gangnam-gu|||116804166457|선릉로12길|Seolleung-ro 12-gil|0|22|0|1168010300101690005019356||두일빌라|1168010300|개포동||개포2동|0|169|01|5||
